dataset,earliness_factor,ptsepsilon,warmup_steps,drop_probability,accuracy,earliness
CricketX,0.25,10,5,0.75,0.7333333333333333,1.0
SonyAIBORobotSurface2,0.5,10,5,0.25,0.863588667366212,0.29912195038377193
InlineSkate,0.25,10,5,0.25,0.2309090909090909,0.1488256584776668
Trace,0.25,10,5,0.5,0.72,0.22514002939983785
ECG200,0.25,0,5,0.25,0.83,0.17307200292397662
Adiac,0.25,10,5,0.5,0.7237851662404092,0.5768148688046647
Fish,0.25,10,5,0.25,0.8857142857142857,0.470236656074422
CricketY,0.5,10,5,0.25,0.7230769230769231,1.0
TwoLeadECG,0.25,0,5,0.25,0.4995610184372256,0.0
WordSynonyms,0.25,10,5,0.5,0.5658307210031348,0.6439710996522365
DiatomSizeReduction,0.25,10,5,0.25,0.9117647058823529,0.24010174418604652
MedicalImages,0.25,10,5,0.75,0.6973684210526315,0.3406902939747327
UWaveGestureLibraryY,0.25,10,5,0.5,0.6217197096594081,0.5710056016833486
Coffee,0.25,10,5,0.5,0.4642857142857143,0.0
Symbols,0.25,10,5,0.5,0.8251256281407036,0.29797300906351204
ItalyPowerDemand,0.25,0,5,0.25,0.49854227405247814,0.00011988491048593351
GunPoint,0.25,10,5,0.75,0.49333333333333335,0.0
SyntheticControl,0.25,10,5,0.75,0.9,0.35512326656394444
MedicalImages,0.25,10,5,0.5,0.7223684210526315,0.34398156584062195
OSULeaf,0.25,10,5,0.25,0.5909090909090909,0.43168097124413146
Lightning2,0.25,10,5,0.25,0.5409836065573771,0.0
Beef,0.25,10,5,0.25,0.2,0.0
UWaveGestureLibraryX,0.25,10,5,0.25,0.7814070351758794,1.0
TwoLeadECG,0.25,10,5,0.5,0.4995610184372256,0.0
TwoLeadECG,0.25,10,5,0.25,0.4995610184372256,0.0
ECGFiveDays,0.25,10,5,0.5,0.49709639953542395,0.0
CBF,0.25,10,5,0.75,0.7988888888888889,0.27591043307086616
CBF,0.25,0,5,0.25,0.7011111111111111,0.19183070866141735
GunPoint,0.25,10,5,0.5,0.49333333333333335,0.0
FaceAll,0.25,10,5,0.5,0.8822485207100592,0.36130492548761783
ItalyPowerDemand,0.25,10,5,0.25,0.5014577259475219,0.00011988491048593351
Wafer,0.25,10,5,0.75,0.8921155094094744,0.0
Coffee,0.25,0,5,0.25,0.4642857142857143,0.0
CinCECGTorso,0.25,10,5,0.25,0.6260869565217392,0.5278637257803923
SonyAIBORobotSurface2,0.25,10,5,0.25,0.8467995802728226,0.26210594846491225
Mallat,0.25,10,5,0.75,0.9185501066098081,1.0
DiatomSizeReduction,0.25,10,5,0.5,0.9052287581699346,0.2519000726744186
Lightning7,0.25,10,5,0.75,0.8082191780821918,0.7263468509783368
MedicalImages,0.25,10,5,0.25,0.7342105263157894,0.33218309645286687
FiftyWords,0.25,10,5,0.75,0.6923076923076923,1.0
ItalyPowerDemand,0.25,10,5,0.75,0.6054421768707483,0.17669437340153454
MoteStrain,0.25,10,5,0.5,0.8027156549520766,0.28803861278447124
Coffee,0.25,10,5,0.75,0.5357142857142857,0.0
Wafer,0.25,10,5,0.25,0.8921155094094744,0.0
Coffee,0.25,10,5,0.25,0.4642857142857143,0.0
CricketZ,0.25,10,5,0.5,0.7512820512820513,0.5144380076445294
ItalyPowerDemand,0.25,10,5,0.5,0.6676384839650146,0.24931265984654735
Symbols,0.25,10,5,0.75,0.8010050251256281,0.2960792719953221
Wafer,0.25,10,5,0.5,0.8921155094094744,0.0
Adiac,0.25,10,5,0.75,0.6982097186700768,1.0
GunPoint,0.25,0,5,0.25,0.49333333333333335,0.0
UWaveGestureLibraryZ,0.25,10,5,0.5,0.6834170854271356,0.5588686688686929
CinCECGTorso,0.25,10,5,0.75,0.24855072463768116,0.0
WordSynonyms,0.25,10,5,0.25,0.5862068965517241,0.6164548731862334
ECGFiveDays,0.25,0,5,0.25,0.49709639953542395,0.0
ChlorineConcentration,0.25,10,5,0.5,0.5557291666666667,0.17357638888888888
SwedishLeaf,0.25,10,5,0.5,0.8688,0.46461639281696937
Fish,0.25,10,5,0.75,0.8742857142857143,0.49017075197261367
FiftyWords,0.25,10,5,0.25,0.701098901098901,1.0
FacesUCR,0.25,10,5,0.5,0.744390243902439,0.4423040501165501
ChlorineConcentration,0.25,10,5,0.25,0.5325520833333334,3.1565656565656566e-06
Symbols,0.25,0,5,0.25,0.8231155778894472,0.2639676901538323
FaceAll,0.25,10,5,0.25,0.8887573964497042,0.32706313006793775
Adiac,0.5,10,5,0.25,0.7340153452685422,1.0
TwoLeadECG,0.25,10,5,0.75,0.4995610184372256,0.0
CricketZ,0.25,10,5,0.75,0.7692307692307693,1.0
TwoPatterns,0.25,10,5,0.5,0.63725,0.5836125953005875
Adiac,0.25,10,5,0.25,0.7391304347826086,0.5796373906705539
ECG200,0.25,10,5,0.25,0.81,0.227046783625731
DiatomSizeReduction,0.25,10,5,0.75,0.9444444444444444,0.29664571220930236
MoteStrain,0.25,0,5,0.25,0.7907348242811502,0.24113328313253013
SonyAIBORobotSurface1,0.25,10,5,0.25,0.8768718801996672,0.13337952898550726
CricketZ,0.25,10,5,0.25,0.7487179487179487,0.4957298136645963
