dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
NonInvasiveFatalECGThorax1,0.8325699745547074,0.9783439,0.8646310432569975,0.4752053
SyntheticControl,0.97,0.99694914,0.92,0.5059322
Wafer,0.9961064243997404,0.9943628000000001,0.9849123945489942,0.40225878
Adiac,0.35805626598465473,0.99368656,0.12020460358056265,0.55944467
Symbols,0.8703517587939699,0.9907851000000001,0.8170854271356784,0.44822347
CricketY,0.6794871794871795,0.9921534,0.7282051282051282,0.5816053000000001
NonInvasiveFatalECGThorax2,0.8066157760814251,0.9848754999999999,0.8432569974554708,0.5042469
Beef,0.6,0.9432835999999999,0.6333333333333333,1.0
CricketX,0.6846153846153846,0.9940399999999999,0.7051282051282052,0.624166
SonyAIBORobotSurface2,0.8593913955928646,0.9989834999999999,0.8216159496327388,0.33501115
FaceFour,0.8863636363636364,1.0,0.9090909090909092,1.0
ItalyPowerDemand,0.8649173955296404,0.9993663,0.8425655976676385,0.6507795999999999
WordSynonyms,0.5141065830721003,0.99547267,0.5830721003134797,1.0
GunPoint,0.7933333333333333,0.98684573,0.86,0.56644297
MoteStrain,0.8402555910543131,0.9976326999999999,0.8761980830670927,0.9999998999999999
UWaveGestureLibraryY,0.6532663316582915,0.9924214,0.6588498045784478,0.81574714
Lightning2,0.8032786885245902,0.9987627,0.7049180327868853,0.40496445
Mallat,0.6737739872068229,0.9659591000000001,0.6383795309168443,0.5006855
CinCECGTorso,0.7086956521739131,0.93369037,0.6543478260869565,0.45879605
SwedishLeaf,0.8864,0.9984126,0.8512,0.6255874
Coffee,0.5357142857142857,1.0,0.5357142857142857,0.0
CBF,0.8833333333333333,0.9998863000000001,0.8855555555555555,0.53055114
UWaveGestureLibraryZ,0.6845337800111669,0.9919671,0.7205471803461754,0.6942009
StarLightCurves,0.9589606605148129,0.97833914,0.9316415735794076,0.33161995
ECG200,0.86,0.99515796,0.82,0.4867369000000001
OliveOil,0.4,0.9972466,0.2,1.0
UWaveGestureLibraryX,0.7618648799553323,0.995006,0.8042992741485204,1.0
ChlorineConcentration,0.521875,0.9972773000000001,0.5533854166666666,0.28118846
Lightning7,0.6438356164383562,0.9999998999999999,0.5753424657534246,0.9999998999999999
OSULeaf,0.6322314049586777,0.99104685,0.6694214876033058,1.0
SonyAIBORobotSurface1,0.6505823627287853,0.9961416999999999,0.848585690515807,0.29643828
Haptics,0.47402597402597396,0.98539704,0.3831168831168831,0.56688434
TwoLeadECG,0.9561018437225636,0.9983523999999999,0.9139596136962248,0.5195157
FacesUCR,0.7507317073170732,0.9978574,0.8941463414634147,1.0
Yoga,0.7509999999999999,0.9968164,0.7266666666666667,0.4435529
TwoPatterns,0.97075,0.9957913,1.0,1.0
Fish,0.6685714285714286,0.9987878000000001,0.8685714285714285,0.6540136
Trace,0.94,0.98164237,0.73,0.42397815
InlineSkate,0.26181818181818184,0.95678025,0.2272727272727273,0.40923590000000004
FaceAll,0.8964497041420119,0.9111879999999999,0.9218934911242604,0.2830132
ECGFiveDays,1.0,0.9909665000000001,0.9965156794425089,0.15552114
CricketZ,0.7179487179487181,0.6487694,0.7076923076923077,0.51355803
FiftyWords,0.7230769230769231,0.3958985,0.7384615384615385,0.3997222
MedicalImages,0.6539473684210526,0.3046992,0.7315789473684211,0.41689038
DiatomSizeReduction,0.7843137254901961,0.93170506,0.9738562091503268,0.20408687
