dataset,phase1_accuracy,phase1_earliness,phase2_accuracy,phase2_earliness
NonInvasiveFatalECGThorax1,0.8142493638676844,0.99091583,0.8284987277353689,0.35940033
SyntheticControl,0.9666666666666668,0.99694914,0.86,0.34875706
Wafer,0.9965931213497728,0.99691534,0.9612264763140818,0.26770479999999997
Adiac,0.2966751918158568,0.9976617,0.3069053708439898,0.37350386
Symbols,0.8904522613065327,0.9899825999999999,0.8231155778894472,0.39327618
CricketY,0.7205128205128205,0.9998199000000001,0.7,0.5610153
NonInvasiveFatalECGThorax2,0.8865139949109415,0.98046255,0.87735368956743,0.33664632
Beef,0.6333333333333333,0.984506,0.5666666666666667,0.32686570000000004
CricketX,0.7128205128205128,0.99123573,0.7025641025641025,0.50914156
SonyAIBORobotSurface2,0.863588667366212,0.9981800999999999,0.8027282266526757,0.41584143
FaceFour,0.8863636363636364,0.9848919,0.6818181818181818,0.24068771
ItalyPowerDemand,0.6569484936831875,0.9984367000000001,0.7210884353741497,0.36130476
WordSynonyms,0.5109717868338558,0.9924252,0.21943573667711605,0.0
GunPoint,0.8533333333333334,0.9928412,0.8266666666666667,0.3543624
MoteStrain,0.84185303514377,0.9982869000000001,0.4608626198083067,0.0
UWaveGestureLibraryY,0.6716917922948074,0.9887485999999999,0.5695142378559463,0.48052096
Lightning2,0.8032786885245902,0.9890452,0.6721311475409836,0.20293328
Mallat,0.6460554371002132,0.97652334,0.5232409381663113,0.34028307
CinCECGTorso,0.7130434782608696,0.9503043999999999,0.4905797101449275,0.28797626
SwedishLeaf,0.872,0.99497324,0.8096,0.4141228
Coffee,0.4642857142857143,1.0,0.5357142857142857,0.0
CBF,0.8877777777777778,0.9979266,0.6933333333333334,0.2750656
UWaveGestureLibraryZ,0.6965382467895029,0.99364305,0.6038525963149078,0.45284638
StarLightCurves,0.9165857212238951,0.9769416999999999,0.8491986401165614,0.29852095
ECG200,0.85,0.9943158000000001,0.79,0.35252637
OliveOil,0.16666666666666666,1.0,0.4,0.0
UWaveGestureLibraryX,0.7305974316024567,0.9941365,0.6446119486320492,0.42563313
ChlorineConcentration,0.5549479166666667,0.9971021999999999,0.5526041666666667,0.23688446
Lightning7,0.4794520547945205,0.9999998999999999,0.2602739726027397,0.0
OSULeaf,0.6528925619834711,0.9783106,0.5909090909090909,0.50252205
SonyAIBORobotSurface1,0.64891846921797,0.9990113000000002,0.8735440931780366,0.1445658
Haptics,0.4188311688311688,0.96197045,0.37662337662337664,0.36054736
TwoLeadECG,0.9657594381035997,0.99877524,0.8121158911325724,0.34254652
FacesUCR,0.824390243902439,0.99720824,0.7297560975609756,0.42212006
Yoga,0.7433333333333333,0.9931937,0.703,0.3485106
TwoPatterns,0.95775,0.99744487,0.562,0.5362264
Fish,0.8285714285714286,0.9895733,0.7257142857142858,0.46179342
Trace,0.92,0.99105835,0.76,0.35372270000000006
InlineSkate,0.22363636363636366,0.933256,0.2290909090909091,0.26858732
FaceAll,0.9218934911242604,0.88719165,0.9201183431952664,0.2624579
ECGFiveDays,1.0,0.99464875,0.994192799070848,0.12278573
CricketZ,0.4897435897435897,0.04527056,0.7179487179487181,0.32546094
FiftyWords,0.7252747252747253,0.37018670000000004,0.7230769230769231,0.34013644
DiatomSizeReduction,0.7287581699346405,0.9395899999999999,0.937908496732026,0.17037164
