dataset,earliness_factor,ptsepsilon,warmup_steps,drop_probability,accuracy,earliness
Coffee,0.75,0,20,0.75,1.0,1.0
CricketX,0.25,10,5,0.75,0.7333333333333333,1.0
MedicalImages,0.75,0,20,0.25,0.7618421052631579,1.0
Trace,0.25,0,20,0.5,0.72,0.19448879764801297
Lightning2,0.5,0,20,0.5,0.7704918032786885,1.0
SonyAIBORobotSurface2,0.5,10,5,0.25,0.863588667366212,0.29912195038377193
Yoga,0.75,0,20,0.75,0.5416666666666666,0.013292843733237974
CinCECGTorso,0.25,0,20,0.75,0.3717391304347826,0.09043917116833784
SonyAIBORobotSurface1,0.75,0,20,0.25,0.9700499168053245,1.0
SonyAIBORobotSurface1,0.5,0,20,0.75,0.9334442595673876,0.2110951086956522
TwoLeadECG,0.5,0,20,0.25,0.9947322212467077,0.45100644853277383
WordSynonyms,0.75,0,20,0.5,0.64576802507837,1.0
Fish,0.25,0,20,0.5,0.8857142857142857,0.44694786965398664
MoteStrain,0.75,0,20,0.75,0.884185303514377,1.0
Adiac,0.25,0,20,0.5,0.6521739130434783,1.0
InlineSkate,0.25,10,5,0.25,0.2309090909090909,0.1488256584776668
Trace,0.25,10,5,0.5,0.72,0.22514002939983785
OSULeaf,0.5,0,20,0.75,0.7231404958677686,1.0
ECG200,0.25,0,5,0.25,0.83,0.17307200292397662
UWaveGestureLibraryY,0.5,0,20,0.75,0.7158012283640425,1.0
Adiac,0.25,10,5,0.5,0.7237851662404092,0.5768148688046647
OliveOil,0.5,0,20,0.25,0.4,0.02243702401874634
SwedishLeaf,0.25,0,20,0.75,0.9168,1.0
SwedishLeaf,0.75,0,20,0.5,0.9184,1.0
Fish,0.25,10,5,0.25,0.8857142857142857,0.470236656074422
NonInvasiveFatalECGThorax2,0.75,0,20,0.75,0.927735368956743,1.0
OSULeaf,0.75,0,20,0.25,0.7396694214876033,1.0
ItalyPowerDemand,0.25,0,20,0.5,0.5792031098153547,0.05212595907928389
TwoLeadECG,0.75,0,20,0.25,0.9947322212467077,1.0
Trace,0.75,0,20,0.75,1.0,1.0
SonyAIBORobotSurface2,0.5,0,20,0.5,0.863588667366212,1.0
UWaveGestureLibraryX,0.5,0,20,0.75,0.8137911781127861,1.0
CBF,0.25,0,20,0.75,0.8366666666666667,0.25720964566929133
CricketY,0.5,10,5,0.25,0.7230769230769231,1.0
Trace,0.75,0,20,0.25,1.0,1.0
SyntheticControl,0.5,0,20,0.75,0.99,1.0
ItalyPowerDemand,0.5,0,20,0.75,0.9455782312925171,1.0
SwedishLeaf,0.5,0,20,0.75,0.9232,1.0
Lightning7,0.75,0,20,0.25,0.8767123287671232,1.0
ItalyPowerDemand,0.25,0,20,0.25,0.5957240038872692,0.1197969948849105
TwoLeadECG,0.25,0,20,0.5,0.4995610184372256,0.0
DiatomSizeReduction,0.75,0,20,0.5,0.9607843137254902,1.0
TwoPatterns,0.25,0,20,0.5,0.99925,1.0
ECG200,0.5,10,5,0.25,0.81,0.24201388888888886
GunPoint,0.75,0,20,0.75,0.96,1.0
SyntheticControl,0.25,0,20,0.75,0.99,1.0
Symbols,0.25,0,20,0.75,0.7939698492462312,0.291977006679561
Wafer,0.5,0,20,0.5,0.9978909798831928,1.0
TwoLeadECG,0.25,0,5,0.25,0.4995610184372256,0.0
CricketX,0.5,0,20,0.75,0.7692307692307693,1.0
UWaveGestureLibraryX,0.75,0,20,0.5,0.8098827470686767,1.0
SonyAIBORobotSurface1,0.25,0,20,0.5,0.8735440931780366,0.15663586956521738
CinCECGTorso,0.75,0,20,0.5,0.6615942028985508,1.0
WordSynonyms,0.25,10,5,0.5,0.5658307210031348,0.6439710996522365
NonInvasiveFatalECGThorax1,0.75,0,20,0.75,0.9114503816793893,1.0
OSULeaf,0.75,0,20,0.75,0.7520661157024794,1.0
CricketX,0.75,0,20,0.75,0.7743589743589744,1.0
MedicalImages,0.5,0,20,0.25,0.7473684210526316,1.0
OliveOil,0.25,0,20,0.5,0.4,0.0
DiatomSizeReduction,0.25,10,5,0.25,0.9117647058823529,0.24010174418604652
MedicalImages,0.25,10,5,0.75,0.6973684210526315,0.3406902939747327
ECG200,0.75,0,20,0.5,0.87,1.0
Fish,0.5,0,20,0.75,0.9085714285714286,1.0
Lightning2,0.5,0,20,0.75,0.6557377049180327,0.06900195896484174
UWaveGestureLibraryY,0.25,10,5,0.5,0.6217197096594081,0.5710056016833486
Coffee,0.25,10,5,0.5,0.4642857142857143,0.0
Symbols,0.25,10,5,0.5,0.8251256281407036,0.29797300906351204
Adiac,0.5,0,20,0.25,0.6086956521739131,1.0
ItalyPowerDemand,0.25,0,5,0.25,0.49854227405247814,0.00011988491048593351
UWaveGestureLibraryZ,0.25,10,5,0.75,0.6574539363484088,0.5172715321296486
FaceAll,0.5,0,20,0.25,0.8284023668639053,1.0
InlineSkate,0.75,0,20,0.5,0.27636363636363637,1.0
GunPoint,0.25,10,5,0.75,0.49333333333333335,0.0
SyntheticControl,0.25,10,5,0.75,0.9,0.35512326656394444
MedicalImages,0.25,10,5,0.5,0.7223684210526315,0.34398156584062195
CinCECGTorso,0.5,0,20,0.25,0.658695652173913,1.0
GunPoint,0.25,0,20,0.5,0.49333333333333335,6.991051454138702e-05
InlineSkate,0.5,0,20,0.5,0.2636363636363636,1.0
TwoLeadECG,0.5,0,20,0.75,0.543459174714662,0.07706068109685574
OSULeaf,0.25,10,5,0.25,0.5909090909090909,0.43168097124413146
Beef,0.5,0,20,0.25,0.7,1.0
Coffee,0.25,0,20,0.5,0.4642857142857143,0.0006265664160401002
Coffee,0.75,0,20,0.5,1.0,1.0
Symbols,0.75,0,20,0.75,0.9316582914572864,1.0
Lightning2,0.25,10,5,0.25,0.5409836065573771,0.0
Symbols,0.5,0,20,0.75,0.9256281407035176,1.0
TwoPatterns,0.5,0,20,0.5,0.99925,1.0
Beef,0.25,10,5,0.25,0.2,0.0
UWaveGestureLibraryX,0.25,10,5,0.25,0.7814070351758794,1.0
ECGFiveDays,0.75,0,20,0.75,1.0,1.0
UWaveGestureLibraryY,0.5,10,5,0.25,0.6834170854271356,1.0
TwoLeadECG,0.25,10,5,0.5,0.4995610184372256,0.0
UWaveGestureLibraryX,0.25,0,20,0.5,0.8096035734226689,1.0
NonInvasiveFatalECGThorax1,0.75,0,20,0.25,0.9384223918575063,1.0
ECG200,0.25,0,20,0.75,0.64,0.0
Fish,0.25,0,20,0.75,0.8857142857142857,0.48263720986460346
FaceFour,0.5,0,20,0.25,0.9090909090909091,1.0
UWaveGestureLibraryZ,0.75,0,20,0.5,0.7551647124511446,1.0
Lightning7,0.5,0,20,0.25,0.8493150684931506,1.0
SyntheticControl,0.5,0,20,0.25,0.9933333333333333,1.0
TwoLeadECG,0.25,10,5,0.25,0.4995610184372256,0.0
WordSynonyms,0.5,0,20,0.75,0.6551724137931034,1.0
Symbols,0.5,0,20,0.25,0.9487437185929648,1.0
ECGFiveDays,0.25,10,5,0.5,0.49709639953542395,0.0
Coffee,0.5,0,20,0.25,1.0,1.0
CBF,0.25,10,5,0.75,0.7988888888888889,0.27591043307086616
FaceFour,0.5,0,20,0.5,0.9090909090909091,1.0
Fish,0.5,0,20,0.25,0.9257142857142857,1.0
UWaveGestureLibraryZ,0.75,0,20,0.25,0.756002233389168,1.0
CBF,0.25,0,5,0.25,0.7011111111111111,0.19183070866141735
SwedishLeaf,0.5,0,20,0.5,0.9328,1.0
GunPoint,0.25,10,5,0.5,0.49333333333333335,0.0
WordSynonyms,0.75,0,20,0.25,0.6849529780564263,1.0
CricketZ,0.25,0,20,0.5,0.7769230769230769,1.0
MoteStrain,0.5,0,20,0.25,0.8194888178913738,0.29068461345381524
Lightning2,0.75,0,20,0.25,0.7540983606557377,1.0
SwedishLeaf,0.5,0,20,0.25,0.9312,1.0
FaceAll,0.25,10,5,0.5,0.8822485207100592,0.36130492548761783
ECGFiveDays,0.75,0,20,0.5,1.0,1.0
CricketZ,0.5,0,20,0.75,0.7717948717948718,1.0
NonInvasiveFatalECGThorax2,0.5,0,20,0.75,0.9236641221374046,1.0
TwoLeadECG,0.5,0,20,0.5,0.9964881474978051,0.4888260173754
Trace,0.5,0,20,0.25,1.0,1.0
ItalyPowerDemand,0.5,0,20,0.25,0.9611273080660836,1.0
SonyAIBORobotSurface2,0.25,0,20,0.5,0.8541448058761805,0.2646213107638889
MedicalImages,0.5,0,20,0.75,0.7578947368421053,1.0
FaceFour,0.75,0,20,0.25,0.9090909090909091,1.0
ItalyPowerDemand,0.25,10,5,0.25,0.5014577259475219,0.00011988491048593351
Trace,0.5,0,20,0.5,1.0,1.0
Wafer,0.25,10,5,0.75,0.8921155094094744,0.0
SyntheticControl,0.75,0,20,0.25,0.9933333333333333,1.0
Coffee,0.25,0,5,0.25,0.4642857142857143,0.0
MoteStrain,0.25,0,20,0.5,0.7787539936102237,0.271572749330656
UWaveGestureLibraryY,0.75,0,20,0.5,0.7227805695142379,1.0
ECG200,0.5,0,20,0.25,0.88,1.0
TwoLeadECG,0.75,0,20,0.75,0.9973661106233538,1.0
MoteStrain,0.25,0,20,0.75,0.5391373801916933,0.0
GunPoint,0.75,0,20,0.5,0.9733333333333334,1.0
CinCECGTorso,0.25,10,5,0.25,0.6260869565217392,0.5278637257803923
Symbols,0.25,0,20,0.5,0.8371859296482412,0.29317418304695936
SonyAIBORobotSurface2,0.25,10,5,0.25,0.8467995802728226,0.26210594846491225
Mallat,0.25,10,5,0.75,0.9185501066098081,1.0
DiatomSizeReduction,0.75,0,20,0.25,0.9738562091503268,1.0
CBF,0.75,0,20,0.25,0.9888888888888889,1.0
DiatomSizeReduction,0.25,10,5,0.5,0.9052287581699346,0.2519000726744186
Lightning7,0.25,10,5,0.75,0.8082191780821918,0.7263468509783368
MedicalImages,0.25,10,5,0.25,0.7342105263157894,0.33218309645286687
ItalyPowerDemand,0.5,0,20,0.5,0.9620991253644315,1.0
FiftyWords,0.5,0,20,0.75,0.7670329670329671,1.0
FiftyWords,0.25,10,5,0.75,0.6923076923076923,1.0
ItalyPowerDemand,0.25,10,5,0.75,0.6054421768707483,0.17669437340153454
CricketZ,0.25,0,20,0.75,0.7717948717948718,1.0
MoteStrain,0.25,10,5,0.5,0.8027156549520766,0.28803861278447124
Lightning7,0.25,0,20,0.75,0.8356164383561644,1.0
Symbols,0.5,0,20,0.5,0.928643216080402,1.0
CricketY,0.25,0,20,0.5,0.7410256410256411,1.0
CricketX,0.5,0,20,0.25,0.7717948717948718,1.0
SyntheticControl,0.75,0,20,0.75,0.9933333333333333,1.0
Haptics,0.25,10,5,0.75,0.461038961038961,0.39973141260664175
SyntheticControl,0.5,0,20,0.5,0.9933333333333333,1.0
Coffee,0.25,10,5,0.75,0.5357142857142857,0.0
Wafer,0.25,10,5,0.25,0.8921155094094744,0.0
Adiac,0.75,0,20,0.25,0.659846547314578,1.0
SonyAIBORobotSurface2,0.5,0,20,0.75,0.869884575026233,1.0
Beef,0.75,0,20,0.5,0.6666666666666666,1.0
Lightning2,0.25,0,20,0.5,0.5409836065573771,0.0
Coffee,0.25,10,5,0.25,0.4642857142857143,0.0
Adiac,0.5,0,20,0.75,0.5907928388746803,1.0
SonyAIBORobotSurface1,0.75,0,20,0.75,0.9667221297836939,1.0
CricketX,0.5,10,5,0.25,0.7487179487179487,1.0
Haptics,0.5,0,20,0.5,0.5,1.0
CricketX,0.75,0,20,0.25,0.7717948717948718,1.0
CricketZ,0.25,10,5,0.5,0.7512820512820513,0.5144380076445294
Lightning2,0.25,0,20,0.75,0.5409836065573771,0.0
SyntheticControl,0.75,0,20,0.5,0.9933333333333333,1.0
DiatomSizeReduction,0.25,0,20,0.75,0.9509803921568627,0.22803888081395346
FaceAll,0.25,0,20,0.75,0.8,1.0
ItalyPowerDemand,0.25,10,5,0.5,0.6676384839650146,0.24931265984654735
SwedishLeaf,0.25,0,20,0.5,0.9328,1.0
Symbols,0.25,10,5,0.75,0.8010050251256281,0.2960792719953221
Wafer,0.25,10,5,0.5,0.8921155094094744,0.0
ECGFiveDays,0.75,0,20,0.25,0.9988385598141696,1.0
Adiac,0.25,10,5,0.75,0.6982097186700768,1.0
WordSynonyms,0.75,0,20,0.75,0.6520376175548589,1.0
CinCECGTorso,0.75,0,20,0.25,0.6630434782608695,1.0
UWaveGestureLibraryZ,0.75,0,20,0.75,0.7568397543271915,1.0
GunPoint,0.25,0,5,0.25,0.49333333333333335,0.0
UWaveGestureLibraryZ,0.25,10,5,0.5,0.6834170854271356,0.5588686688686929
CinCECGTorso,0.25,10,5,0.75,0.24855072463768116,0.0
OliveOil,0.5,0,20,0.5,0.4,0.025717633274751024
CricketY,0.5,0,20,0.75,0.7435897435897436,1.0
WordSynonyms,0.25,10,5,0.25,0.5862068965517241,0.6164548731862334
Fish,0.75,0,20,0.25,0.9314285714285714,1.0
MoteStrain,0.5,0,20,0.5,0.8394568690095847,0.3351959923025435
FiftyWords,0.25,0,20,0.75,0.7648351648351648,1.0
ECGFiveDays,0.25,0,5,0.25,0.49709639953542395,0.0
ChlorineConcentration,0.25,10,5,0.5,0.5557291666666667,0.17357638888888888
SwedishLeaf,0.25,10,5,0.5,0.8688,0.46461639281696937
GunPoint,0.5,0,20,0.25,0.9533333333333334,1.0
TwoLeadECG,0.25,0,20,0.75,0.4995610184372256,0.0
ItalyPowerDemand,0.75,0,20,0.25,0.9620991253644315,1.0
StarLightCurves,0.75,0,20,0.75,0.9662457503642545,1.0
